timestamp,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,num_doors,ext_condition,int_condition,drive_type
1584031825,29995,2012,Ford,F-250,Truck,151906.0,,Blackfoot,ID,Dealer,Lariat,white,,,,8.0,Diesel,,,,4-Wheel Drive
1584031815,15299,2012,Toyota,Sienna,Van,115129.0,Clean Title,American Fork,UT,Dealer,,predawn gray mica,light gray leather interior,Automatic,,6.0,Gasoline,,,,AWD
1584031804,27500,2018,Infiniti,Q70L,Sedan,13405.0,,Salt Lake City,UT,Dealer,3.7 LUXE,black,graphite,Automatic,,6.0,Gasoline,4.0,,,AWD
1584031794,19295,2015,Lexus,ES 350,Sedan,41972.0,,South Jordan,UT,Dealer,,white,black,Automatic,,6.0,Gasoline,4.0,,,FWD
1584031784,20000,2016,Dodge,Durango,Sport Utility,60625.0,,Salt Lake City,UT,Dealer,Limited,black,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive
1584031775,48670,2015,Tesla,Model S,Sedan,32001.0,,South Jordan,UT,Dealer,85D,gray,black,Automatic,,,Electric,4.0,,,AWD
1584031754,44995,2019,Chevrolet,Suburban,Sport Utility,25655.0,Clean Title,Tremonton,UT,Dealer,LT,summit white,jet black,Automatic,,8.0,Gasoline,,,,4-Wheel Drive
1584031743,22995,2015,Chevrolet,Silverado 1500,Truck,110959.0,,Blackfoot,ID,Dealer,LT,silver ice metallic,jet black,Automatic,,8.0,Gasoline,,,,4-Wheel Drive
1584031734,10995,2016,Hyundai,Sonata,Sedan,66529.0,Clean Title,Roy,UT,Dealer,2.4L SE,blue,gray,Automatic,,4.0,Gasoline,,,,FWD
1584031724,11500,2015,Ford,Taurus,Sedan,76990.0,,Salt Lake City,UT,Dealer,Limited,white,dune,Automatic,,6.0,Flex Fuel,4.0,,,FWD
1584031716,16999,2009,Chevrolet,Suburban,Sport Utility,109221.0,Clean Title,American Fork,UT,Dealer,LTZ,black,ebony leather interior,Automatic,,8.0,Flex Fuel,,,,4-Wheel Drive
1584031714,7995,2012,Cadillac,SRX,Crossover,121340.0,Clean Title,Sandy,UT,Dealer,Luxury Collection,silver,black,Automatic,,6.0,Flex Fuel,4.0,Very Good,Very Good,AWD
1584031710,24977,2015,Chevrolet,Silverado 1500,Truck,61447.0,Clean Title,South Salt Lake,UT,Dealer,LT,gray,gray,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive
1584031706,24992,2019,Jeep,Cherokee,Sport Utility,347.0,,Afton,WY,Dealer,Latitude,billet silver metallic clearcoat,black,Automatic,2.4,4.0,Gasoline,4.0,,,AWD
1584031696,36600,2018,Jeep,Wrangler,Convertible,462.0,,Afton,WY,Dealer,Sport S,bright white clearcoat,black,Automatic,3.6,6.0,Gasoline,4.0,,,4-Wheel Drive
1584031693,18995,2018,Toyota,Camry,Sedan,13114.0,,Rock Springs,WY,Dealer,,celestial silver metallic,ash,Automatic,,4.0,Gasoline,,,,FWD
1584031685,31340,2019,Jeep,Cherokee,Sport Utility,50.0,,Afton,WY,Dealer,Latitude,velvet red pearlcoat,black,Automatic,3.2,6.0,Gasoline,4.0,,,AWD
1584031675,19995,2011,Ram,2500,Truck,111248.0,Clean Title,Roy,UT,Dealer,Laramie,green,charcoal,Automatic,,8.0,Gasoline,,,,4-Wheel Drive
1584031664,5900,2004,Subaru,Impreza,Wagon,174351.0,Clean Title,Salt Lake City,UT,Dealer,WRX Sport,silver,gray,Manual,,4.0,Gasoline,4.0,,,AWD
1584031654,41500,2016,Chevrolet,Silverado 2500HD,Truck,68583.0,,Afton,WY,Dealer,LT,black,jet black,Automatic,6.6,8.0,Diesel,4.0,,,4-Wheel Drive
1584031644,13000,2018,Nissan,Sentra,Sedan,13065.0,Clean Title,South Jordan,UT,Dealer,SR,gray,charcoal,Manual,,4.0,Gasoline,4.0,,,FWD
1584031635,19500,2019,Subaru,Crosstrek,Sport Utility,6123.0,,Salt Lake City,UT,Dealer,Premium,silver,black,Automatic,,4.0,Gasoline,4.0,,,
1584031623,15451,2008,Toyota,Tacoma,Truck,105917.0,,Boise,ID,Dealer,PreRunner,gray,graphite,,4.0,6.0,Gasoline,4.0,,,RWD
1584031614,15498,2016,Toyota,RAV4,Sport Utility,51346.0,Clean Title,Pleasant Grove,UT,Dealer,XLE,orange,,Automatic,,4.0,Gasoline,,,,4-Wheel Drive
1584031594,14995,2015,Chevrolet,Equinox,Sport Utility,40392.0,Clean Title,Tremonton,UT,Dealer,LT,summit white,jet black,Automatic,,4.0,Gasoline,,,,FWD
1584031584,23700,2016,Mazda,CX-9,Sport Utility,34541.0,,Orem,UT,Dealer,Touring,white,black,Automatic,,4.0,Gasoline,4.0,,,AWD
1584031535,3500,2009,Nissan,Murano,Sport Utility,198612.0,,Salt Lake City,UT,Dealer,S,tinted bronze metallic,black,Automatic,3.5,6.0,Gasoline,4.0,,,AWD
1584031525,28495,2016,Toyota,4Runner,Sport Utility,69515.0,Clean Title,Lindon,UT,Dealer,Trail,magnetic gray metallic,"black, cloth",Automatic,,6.0,Gasoline,,,,4-Wheel Drive
1584031514,22145,2014,Dodge,Challenger,Coupe,26446.0,,Ogden,UT,Dealer,R/T,white,dark slate gray,Automatic,,8.0,Gasoline,2.0,,,RWD
1584031504,11420,2015,Mazda,Mazda6,Sedan,77516.0,,Orem,UT,Dealer,i Sport,silver,black,Manual,,4.0,Gasoline,4.0,,,
1584031494,1980,2000,Ford,Taurus,Sedan,126875.0,,Orem,UT,Dealer,SEL,black,medium graphite,Automatic,,6.0,Gasoline,4.0,,,FWD
1584031443,9499,2011,Volkswagen,Jetta,Wagon,51000.0,Clean Title,Heber City,UT,Dealer,,,,,,4.0,Diesel,,,,
1584031441,400,2003,Honda,Accord,Coupe,217000.0,Rebuilt/Reconstructed Title,Orem,UT,Owner,,white,,Manual,,4.0,Gasoline,2.0,Poor,Poor,FWD
1584031440,4400,1996,GMC,1500,Truck,215000.0,Clean Title,Ely,NV,Owner,SL,white,gray,Manual,,8.0,Gasoline,2.0,Good,Good,4-Wheel Drive
1584031434,6888,2010,Ford,Taurus,Sedan,106491.0,Clean Title,West Bountiful,UT,Dealer,SEL,steel blue metallic,beige,Automatic,,6.0,Gasoline,4.0,Excellent,Excellent,FWD
1584031423,16700,2016,Kia,Optima,Sedan,33625.0,,Layton,UT,Dealer,EX,blue,gray,Automatic,,4.0,Gasoline,4.0,,,
1584031414,26716,2017,Mazda,CX-9,Sport Utility,30599.0,,Orem,UT,Dealer,Touring,black,black,Automatic,,4.0,Gasoline,4.0,,,AWD
1584031404,23100,2019,Kia,Sorento,Sport Utility,24677.0,,Layton,UT,Dealer,LX V6,red,black,Automatic,,6.0,Gasoline,4.0,,,AWD
1584031393,5995,2004,Lexus,RX 330,Sport Utility,133292.0,Clean Title,Bountiful,UT,Dealer,,black,,Automatic,,6.0,Gasoline,4.0,,,FWD
1584031373,13713,2016,Kia,Soul,Sedan,44602.0,,South Jordan,UT,Dealer,+,clear white,gray,Automatic,2.0,4.0,Gasoline,,,,FWD
1584031363,17923,2017,Toyota,RAV4,Sport Utility,43121.0,,South Jordan,UT,Dealer,LE,purple,,Automatic,2.5,4.0,Gasoline,,,,4-Wheel Drive
1584031347,950,1987,Nissan,D21,Truck,,Clean Title,Kaysville,UT,Owner,,red,gray,Manual,,4.0,Gasoline,2.0,Poor,Fair,
1584031334,4995,2004,Lexus,GX 470,Sport Utility,205803.0,Clean Title,Bountiful,UT,Dealer,,silver pine,,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive
1584031330,33700,2016,GMC,Yukon XL,Sport Utility,84311.0,Clean Title,South Salt Lake,UT,Dealer,Denali,black,black,Automatic,,8.0,Gasoline,5.0,,,4-Wheel Drive
1584031324,17200,2017,Subaru,Impreza,Sedan,46953.0,,Salt Lake City,UT,Dealer,Premium,crystal white pearl,black,,2.0,4.0,Gasoline,4.0,,,
1584031314,16995,2018,Jeep,Cherokee,Sport Utility,22935.0,Clean Title,Bountiful,UT,Dealer,Latitude,diamond black crystal pearlcoat,black,Automatic,,6.0,Gasoline,4.0,,,AWD
1584031284,10995,2017,Nissan,Altima,Sedan,84447.0,Clean Title,American Fork,UT,Dealer,2.5 SL,blue,charcoal,Automatic,,4.0,Gasoline,4.0,,,FWD
1584031284,5250,2008,Ford,F-150,Truck,182945.0,Clean Title,Salt Lake City,UT,Owner,XL,white,gray,Automatic,,8.0,Gasoline,2.0,Good,Very Good,4-Wheel Drive
1584031280,2700,2009,Pontiac,Vibe,Hatchback,180000.0,Rebuilt/Reconstructed Title,Murray,UT,Dealer,,black,gray,,,4.0,Gasoline,4.0,Good,Good,AWD
1584031274,8995,2012,Honda,Odyssey,Van,92519.0,Rebuilt/Reconstructed Title,Bountiful,UT,Dealer,EX,silver,,Automatic,,6.0,Gasoline,4.0,,,FWD
1584031423,16700,2016,Kia,Optima,Sedan,33625.0,,Layton,UT,Dealer,EX,blue,gray,Automatic,,4.0,Gasoline,4.0,,,
