timestamp,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,n_pics
1584383120,10500,1978,Jeep,CJ,Sport Utility,2093,Clean Title,Bluffdale,UT,Owner,CJ7,green,black,Automatic,,8.0,Gasoline,2.0,Very Good,Excellent,4-Wheel Drive,10
1584383137,14071,2012,Toyota,Tacoma,Truck,183414,,St. George,UT,Dealer,,nautical blue metallic,graphite,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,5
1584383166,35000,1934,Ford,Coupe,Coupe,25000,Clean Title,Draper,UT,Owner,,purple,,,,8.0,,2.0,Very Good,Good,,2
1584383194,7777,2009,Ford,F-350,Truck,140000,Clean Title,Salt Lake City,UT,Owner,XL,white,gray,Automatic,,8.0,Gasoline,,Excellent,Very Good,4-Wheel Drive,15
1584383269,52995,2017,Ford,F-350,Truck,76484,,Salt Lake City,UT,Dealer,Platinum,gray,black,Automatic,,8.0,Diesel,,,,4-Wheel Drive,21
1584383297,15999,2016,Honda,CR-V,Sport Utility,20872,Rebuilt/Reconstructed Title,Woods Cross,UT,Dealer,Touring,silver,gray,,,4.0,Gasoline,4.0,,,FWD,48
1584383319,9500,2010,Honda,Pilot,Sport Utility,126330,Rebuilt/Reconstructed Title,Springville,UT,Owner,Touring 8-Passenger,gray,gray,,,6.0,Gasoline,4.0,Good,Very Good,4-Wheel Drive,24
1584383333,17995,2013,Ram,1500,Truck,147069,Clean Title,Clearfield,UT,Dealer,Laramie Longhorn Edition,black,brown leather,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive,25
1584383336,7989,2012,Chevrolet,Equinox,Sport Utility,125042,Clean Title,Draper,UT,Dealer,LS,,int_color,,,4.0,Gasoline,,,,AWD,4
1584383355,3500,2006,Mitsubishi,Raider,Truck,185000,Clean Title,Salt Lake City,UT,Owner,LS,gray,gray,Automatic,,6.0,Gasoline,4.0,Fair,Excellent,FWD,4
1584383374,1000,1998,Toyota,Camry,Sedan,266000,Clean Title,Draper,UT,Owner,,,,,,4.0,Gasoline,,,,FWD,7
1584383403,56995,2017,GMC,3500,Truck,30172,,Salt Lake City,UT,Dealer,Denali,black,black,Automatic,,8.0,Diesel,,,,4-Wheel Drive,25
1584383424,18350,2010,Cadillac,Escalade ESV,SUV,104000,Clean Title,Roy,UT,Owner,Premium Luxury,black,black,Automatic,,8.0,Flex Fuel,4.0,Good,Good,AWD,7
1584383445,4500,2004,Dodge,Ram 1500,Truck,186390,Clean Title,Salt Lake City,UT,Owner,SLT,red,gray,Automatic,,8.0,Gasoline,2.0,Very Good,Good,4-Wheel Drive,9
1584383470,47995,2019,Chevrolet,Silverado 1500,Truck,7848,,Salt Lake City,UT,Dealer,RST,black,black,,,8.0,Gasoline,,,,4-Wheel Drive,21
1584383531,15988,2018,Dodge,Grand Caravan,Minivan,43436,Clean Title,Bountiful,UT,Dealer,SXT,gray,black,Automatic,,6.0,Flex Fuel,5.0,Excellent,Excellent,FWD,28
1584383536,1495,1999,Oldsmobile,Alero,Sedan,178328,Clean Title,Salt Lake City,UT,Dealer,GL,blue,select,Automatic,,4.0,Gasoline,,,,FWD,0
1584383561,6000,2009,Toyota,Corolla,Sedan,51404,Clean Title,Santa Clara,UT,Owner,LE,silver,gray,Automatic,,4.0,Gasoline,4.0,Very Good,Excellent,FWD,1
