,timestamp,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,n_pics,views,favorites,workingURL,view_rate,favorite_rate,fav_per_view
124,1584387816,1584570123,https://cars.ksl.com/listing/6235537,32900,2019,Ford,Transit,Van,13363,Clean Title,Roy,UT,Dealer,,white,gray,Automanual,,6.0,Flex Fuel,5.0,,,2-Wheel Drive,32,93.0,4.0,1,44.07510408267373,1.8957034014053218,0.043010752688172046
125,1584387810,1584570124,https://cars.ksl.com/listing/6312725,34500,2019,Toyota,4Runner,SUV,13687,,Millcreek,UT,Dealer,TRD Off Road Premium,white,black,Automatic,,6.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive,5,47.0,1.0,1,22.273659729916517,0.473907653828011,0.02127659574468085
126,1584387789,1584570126,https://cars.ksl.com/listing/4974689,25995,2014,Ram,1500,Truck,65234,Clean Title,Idaho Falls,ID,Dealer,Sport,white,black,Automatic,,8.0,Gasoline,,,,4-Wheel Drive,12,212.0,4.0,1,100.45574951874825,1.895391500353741,0.018867924528301886
127,1584387749,1584570127,https://cars.ksl.com/listing/6312723,13000,2007,Chevrolet,Tahoe,Sport Utility,129000,Clean Title,La Verkin,UT,Owner,LT,black,tan,Automatic,,8.0,Flex Fuel,4.0,Very Good,Very Good,4-Wheel Drive,6,29.0,3.0,1,13.738499161083025,1.42122405114652,0.10344827586206896
128,1584387737,1584570127,https://cars.ksl.com/listing/6197365,19750,2016,Honda,Odyssey,Minivan,39563,Clean Title,Lehi,UT,Dealer,SE,gray,gray,Automanual,,6.0,Gasoline,4.0,Excellent,Excellent,FWD,27,265.0,14.0,1,125.53319809200065,6.631942540709469,0.052830188679245285
129,1584387714,1584570128,https://cars.ksl.com/listing/6070022,11590,2015,Volkswagen,Passat,Sedan,32981,Clean Title,Lehi,UT,Dealer,Limited Edition,black,black,Automanual,,4.0,Gasoline,4.0,Excellent,Excellent,FWD,21,338.0,17.0,1,160.09297531987676,8.052013551591434,0.05029585798816568
130,1584387684,1584570129,https://cars.ksl.com/listing/6312722,6995,2006,Honda,Pilot,Sport Utility,144575,Clean Title,Murray,UT,Dealer,LX,silver,gray,Automatic,,6.0,Gasoline,4.0,Excellent,Excellent,AWD,29,20.0,1.0,1,9.47134752939242,0.473567376469621,0.05
131,1584387664,1584570130,https://cars.ksl.com/listing/5952787,32995,2019,Ford,Transit,Van,7389,Clean Title,Lehi,UT,Dealer,XLT,white,gray,Automatic,,6.0,Gasoline,5.0,Excellent,Excellent,2-Wheel Drive,15,318.0,9.0,1,150.57709381473808,4.261615862681266,0.02830188679245283
132,1584387642,1584570131,https://cars.ksl.com/listing/6271869,26980,2019,Subaru,Outback,Wagon,11875,Clean Title,Lehi,UT,Dealer,Limited,gray,black,Automanual,,4.0,Gasoline,4.0,Excellent,Excellent,AWD,28,117.0,7.0,1,55.39402374937667,3.314172361073818,0.05982905982905983
133,1584387637,1584570131,https://cars.ksl.com/listing/6275253,12499,2015,Subaru,Legacy,Sedan,62122,Clean Title,South Salt Lake,UT,Owner,2.5i,silver,gray,Automatic,,4.0,Gasoline,4.0,Very Good,Very Good,AWD,16,137.0,6.0,1,64.86131050883864,2.840641336153517,0.043795620437956206
