post_date,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,VIN,n_pics
2020-03-21,1584803557,https://cars.ksl.com/listing/6175088,23950,2019,Toyota,RAV4,Sport Utility,17701.0,Clean Title,Bountiful,UT,Dealer,XLE,black,black,Automatic,,4.0,Gasoline,,,,4-Wheel Drive,2T3P1RFV9KW054768,30
2020-03-21,1584803558,https://cars.ksl.com/listing/6270572,31600,2019,Ram,1500 Classic,Truck,8331.0,,Sandy,UT,Dealer,Big Horn,bright white clearcoat,diesel gray/black,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive,1C6RR7GT6KS560917,25
2020-03-21,1584803561,https://cars.ksl.com/listing/6270571,27400,2018,Dodge,Durango,Sport Utility,46177.0,,Sandy,UT,Dealer,GT,db black clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1C4RDJDG8JC279125,25
2020-03-21,1584803562,https://cars.ksl.com/listing/6175081,34550,2019,Land Rover,Discovery Sport,Sport Utility,15481.0,Clean Title,Bountiful,UT,Dealer,HSE,black,black,Automatic,,4.0,Gasoline,,,,,SALCR2FXXKH801695,34
2020-03-21,1584803562,https://cars.ksl.com/listing/6254229,49185,2019,BMW,X3,Sport Utility,12065.0,,Murray,UT,Dealer,xDrive30i,dark graphite,canberra beige/black,Automatic,,4.0,Gasoline,4.0,,,AWD,5UXTR9C5XKLP83360,23
2020-03-21,1584803563,https://cars.ksl.com/listing/6121827,6495,2009,Nissan,Altima,Sedan,87643.0,Clean Title,Centerville,UT,Dealer,2.5 S,silver,black,Automatic,,4.0,Gasoline,4.0,,,FWD,1N4AL21E29N411584,9
2020-03-21,1584803566,https://cars.ksl.com/listing/6121826,6495,2011,Hyundai,Elantra,Sedan,73046.0,Clean Title,Centerville,UT,Dealer,GLS,silver,gray,Automatic,,4.0,Gasoline,4.0,,,FWD,5NPDH4AE1BH034594,9
2020-03-21,1584803566,https://cars.ksl.com/listing/6160518,14898,2010,GMC,1500,Truck,92738.0,,American Fork,UT,Dealer,SLE,white,light titanium/dark titanium accents,Automatic,,8.0,Flex Fuel,4.0,,,4-Wheel Drive,1GTSKVE34AZ104894,16
2020-03-21,1584803567,https://cars.ksl.com/listing/6274975,14000,2007,Chevrolet,Silverado 2500HD,Truck,172000.0,Clean Title,Salt Lake City,UT,Owner,LT,gray,gray,Automatic,,8.0,Diesel,4.0,Very Good,Very Good,4-Wheel Drive,1GCHK29687E531931,2
2020-03-21,1584803569,https://cars.ksl.com/listing/6322342,17794,2017,Chevrolet,Impala,Sedan,26475.0,,South Jordan,UT,Dealer,LT,siren red tintcoat,jet black,Automatic,,6.0,Gasoline,4.0,,,,2G1105S32H9197739,41
2020-03-21,1584803569,https://cars.ksl.com/listing/6254220,7950,2017,Dodge,Grand Caravan,Minivan,38662.0,Salvage Title,West Valley City,UT,Dealer,GT,,,,,6.0,Flex Fuel,,,,,2C4RDGEG9HR825496,15
2020-03-21,1584803570,https://cars.ksl.com/listing/6160517,12898,2009,GMC,1500,Truck,144897.0,,American Fork,UT,Dealer,SLE,white,light cashmere/ebony accents,Automatic,,8.0,Flex Fuel,4.0,,,4-Wheel Drive,3GTEK23319G232374,17
2020-03-21,1584803571,https://cars.ksl.com/listing/6323850,27490,2017,Subaru,Forester,Sport Utility,30189.0,,Salt Lake City,UT,Dealer,Touring,gray,saddle brown,Automatic,,4.0,Gasoline,4.0,,,AWD,JF2SJGTC7HH422348,0
2020-03-21,1584803572,https://cars.ksl.com/listing/6254219,12950,2019,Volkswagen,Tiguan,Sport Utility,2942.0,Salvage Title,West Valley City,UT,Dealer,S,,,,,4.0,Gasoline,,,,AWD,3VV0B7AX7KM043377,15
2020-03-21,1584803573,https://cars.ksl.com/listing/6323849,19896,2017,Subaru,Impreza,Hatchback,30225.0,,Salt Lake City,UT,Dealer,Limited,gray,black,Automatic,,4.0,Gasoline,4.0,,,,4S3GTAN6XH3701566,0
2020-03-21,1584803573,https://cars.ksl.com/listing/6322362,28974,2017,Chevrolet,Colorado,Truck,32905.0,,South Jordan,UT,Dealer,4WD Z71,laser blue metallic,jet black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1GCGTDEN1H1315221,44
2020-03-21,1584803575,https://cars.ksl.com/listing/6323846,2490,2008,Volvo,S60,Sedan,194833.0,,Salt Lake City,UT,Dealer,2.5T,gray,off-black,Automatic,,5.0,Gasoline,4.0,,,AWD,YV1RH592982676720,0
2020-03-21,1584803576,https://cars.ksl.com/listing/6323845,2395,2007,Ford,Focus,Sedan,112900.0,,Salt Lake City,UT,Dealer,S,green,dark pebble/light pebble,Automatic,,4.0,Gasoline,4.0,,,FWD,1FAHP34N37W241229,0
2020-03-21,1584803576,https://cars.ksl.com/listing/6190546,33999,2018,Toyota,Sequoia,Sport Utility,41068.0,Clean Title,Draper,UT,Dealer,SR5,white,graphite,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive,5TDBY5G1XJS159779,27
2020-03-21,1584803577,https://cars.ksl.com/listing/6323817,18900,2017,Jeep,Renegade,Sport Utility,8292.0,,Brigham City,UT,Dealer,Latitude,,,Automatic,,4.0,Gasoline,,,,4-Wheel Drive,ZACCJBBB6HPG32124,0
2020-03-21,1584803578,https://cars.ksl.com/listing/6323814,25950,2014,Toyota,4Runner,Sport Utility,92536.0,Clean Title,American Fork,UT,Dealer,Trail,,,Automatic,,6.0,Gasoline,,,,4-Wheel Drive,JTEBU5JRXE5196350,30
2020-03-21,1584803579,https://cars.ksl.com/listing/6323813,32450,2019,Toyota,Tacoma,Truck,11648.0,Clean Title,American Fork,UT,Dealer,SR5,,,Automatic,,6.0,Gasoline,,,,4-Wheel Drive,5TFCZ5AN5KX188938,28
2020-03-21,1584803579,https://cars.ksl.com/listing/6323812,19250,2020,Kia,Sportage,Sport Utility,13497.0,Clean Title,American Fork,UT,Dealer,LX,,,Automatic,,4.0,Gasoline,,,,AWD,KNDPMCAC7L7637802,27
2020-03-21,1584803580,https://cars.ksl.com/listing/6323811,17950,2018,Subaru,Legacy,Sedan,32125.0,Clean Title,American Fork,UT,Dealer,Premium,,,Automatic,,4.0,Gasoline,,,,,4S3BNAF67J3041835,28
2020-03-21,1584803580,https://cars.ksl.com/listing/6323810,32450,2019,Jeep,Grand Cherokee,Sport Utility,9665.0,Clean Title,American Fork,UT,Dealer,Limited,,,Automatic,,6.0,Gasoline,,,,4-Wheel Drive,1C4RJFBGXKC783217,34
2020-03-21,1584803581,https://cars.ksl.com/listing/6323809,9950,2014,Kia,Soul,Sedan,66804.0,Clean Title,American Fork,UT,Dealer,Base,green,,Automatic,,4.0,Gasoline,,,,FWD,KNDJN2A20E7012973,0
2020-03-21,1584803582,https://cars.ksl.com/listing/6288453,15289,2017,Ford,Focus,Hatchback,18545.0,,Woods Cross,UT,Dealer,ST,race red,charcoal black,Manual,,4.0,Gasoline,4.0,,,,1FADP3L98HL302919,31
2020-03-21,1584803583,https://cars.ksl.com/listing/6323808,19950,2020,Kia,Sportage,Sport Utility,7902.0,Clean Title,American Fork,UT,Dealer,LX,,,Automatic,,4.0,Gasoline,,,,AWD,KNDPMCAC9L7689318,29
