post_date,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,VIN,n_pics
2020-03-21,1584801248,https://cars.ksl.com/listing/6324086,20495,2005,Dodge,Ram 2500,Truck,163610,,Murray,UT,Dealer,SLT,blue,dark slate gray,Automatic,,6.0,Diesel,4.0,,,4-Wheel Drive,3D7KS28C35G854759,0
2020-03-21,1584801248,https://cars.ksl.com/listing/6220768,33950,2015,Jeep,Wrangler,Convertible,7866,,Orem,UT,Dealer,Rubicon Hard Rock,firecracker red clear coat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1C4BJWFG2FL777171,21
2020-03-21,1584801249,https://cars.ksl.com/listing/5988115,5900,2007,Subaru,Tribeca,Sport Utility,176955,Clean Title,Pleasant Grove,UT,Dealer,5-Pass Ltd,metallic beige,tan,Automatic,,6.0,Gasoline,,,,AWD,4S4WX83D674404566,27
2020-03-21,1584801249,https://cars.ksl.com/listing/6324085,27142,2017,Audi,Q5,Sport Utility,23961,,Sandy,UT,Dealer,Premium Plus,white,,Automatic,,4.0,Gasoline,4.0,,,AWD,WA1L2AFP4HA084891,0
2020-03-21,1584801251,https://cars.ksl.com/listing/6324084,30798,2017,Audi,Q5,Sport Utility,43503,,Sandy,UT,Dealer,Premium Plus,black,,Automatic,,6.0,Gasoline,4.0,,,AWD,WA1D7AFP5HA082315,0
2020-03-21,1584801252,https://cars.ksl.com/listing/6324081,27027,2016,Audi,A5,Convertible,36106,,Sandy,UT,Dealer,Premium Plus,red,,Automatic,,4.0,Gasoline,2.0,,,AWD,WAUM2AFH0GN005966,0
2020-03-21,1584801252,https://cars.ksl.com/listing/6324080,42070,2016,Land Rover,Range Rover Sport,Sport Utility,33720,,Sandy,UT,Dealer,V6 Diesel HSE,white,,Automatic,,6.0,Diesel,4.0,,,4-Wheel Drive,SALWR2KF1GA658629,0
2020-03-21,1584801253,https://cars.ksl.com/listing/6324079,13595,2016,Volkswagen,Jetta,Sedan,50371,,Sandy,UT,Dealer,1.8T Sport,red,,Automatic,,4.0,Gasoline,4.0,,,,3VWD17AJ0GM287794,0
2020-03-21,1584801254,https://cars.ksl.com/listing/6324076,30190,2015,Mercedes-Benz,E-Class,Wagon,32484,,Sandy,UT,Dealer,E 350,black,,Automatic,,6.0,Gasoline,4.0,,,AWD,WDDHH8JB4FB147693,21
2020-03-21,1584801254,https://cars.ksl.com/listing/6205066,12500,2010,Audi,S5,Coupe,141000,Clean Title,Clinton,UT,Owner,Prestige,gray,black,Manual,,8.0,Gasoline,2.0,Good,Good,AWD,WAU3VAFR7AA059601,11
2020-03-21,1584801256,https://cars.ksl.com/listing/6324073,26463,2014,GMC,1500,Truck,91224,,Sandy,UT,Dealer,SLT,black,slate,Automatic,,8.0,Flex Fuel,4.0,,,4-Wheel Drive,3GTU2VEC5EG562989,0
2020-03-21,1584801257,https://cars.ksl.com/listing/6220766,30750,2018,Ford,F-150,Truck,29642,,Orem,UT,Dealer,XLT,silver-kgc,medium earth gray,Automatic,,8.0,Flex Fuel,4.0,,,4-Wheel Drive,1FTEW1E52JKD94508,22
2020-03-21,1584801257,https://cars.ksl.com/listing/6220765,16995,2017,Hyundai,Santa Fe,Sport Utility,44873,,Orem,UT,Dealer,2.4L,nightfall blue,beige,Automatic,,4.0,Gasoline,4.0,,,AWD,5XYZUDLB4HG429969,27
2020-03-21,1584801258,https://cars.ksl.com/listing/6122226,34598,2017,Ford,F-250,Truck,69232,,Perry,UT,Dealer,XLT,white,gray,,,8.0,Flex Fuel,4.0,,,4-Wheel Drive,1FT7W2B69HEB95721,27
2020-03-21,1584801259,https://cars.ksl.com/listing/5830446,19995,2017,Subaru,Legacy,Sedan,23773,Clean Title,Murray,UT,Dealer,Limited,silver,black,Automatic,,4.0,Gasoline,,,,,4S3BNAK65H3005576,30
2020-03-21,1584801259,https://cars.ksl.com/listing/6324070,8995,2012,Nissan,Xterra,Sport Utility,102000,Rebuilt/Reconstructed Title,Murray,UT,Owner,S,white,gray,Automatic,,6.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive,5N1AN0NW9CC506721,14
2020-03-21,1584801260,https://cars.ksl.com/listing/6220760,21998,2018,Hyundai,Santa Fe,Sport Utility,23702,,Riverdale,UT,Dealer,2.0T,twilight black,black,Automatic,,4.0,Gasoline,4.0,,,AWD,5NMZUDLA7JH072788,27
